"学籍番号","提出日時","（必須）本日の授業に関する質問を書け。質問が全く無い場合は本日の講義の要点を１００字程度で書け。項目の箇条書きではなく、文章形式で書くこと。また、途中に改行を含めないこと。","中西からの回答","（選択）授業の進め方などについて、感想や意見があればどうぞ。無ければ記入不要。","中西からの回答"
"Q12043","10/28/14 15:53","なぜ、中値記法、前置記法、後置記法という3つの記法があるのでしょうか。","プログラム中には普通の数式（中置）で書かれるので、コンパイラが後置記法か前置記法に置き換えて、実行コードを作るのです。","",""
"Q12048","10/29/14 0:55","LLVMのような中間言語はなぜ必要なのですか?","各種のCPUアーキテクチャに対応したコード生成をするためです。","",""
"Q12049","10/29/14 9:15","ほとんどのプログラミング言語論は、bnf(バッカス・ナウア記法)で記述されており、それで書かれた言語仕様書を元にその言語の構文解析プログラム(バーサ)を自動的に作る。バーサを作るソフトも実際に存在する(yacc.GNUなど)","OK","",""
"Q12050","10/29/14 15:38","中間コードがどういうものか、具体的にいうとどのようになるのかいまいちわからなかった。どの程度まで変換したものなのでしょうか。","一例として、第5回スライドP.8を参照してください。","",""
"Q12051","10/28/14 15:32","前置記法と後置記法ではスタックを用いて式を評価できるとありますが、中置記法でも同様にスタックで評価できるのでしょうか。","できません。","",""
"Q12052","10/29/14 2:25","中間コードにLLVMを利用する利点はどのようなものがありますか?","各種のCPUアーキテクチャに対応したコード生成をするためです。","",""
"Q12054","10/29/14 11:23","構文規則での曖昧さに対して演算子の結合性や優先順位を決めておく。全ての演算子に対して優先順位をつけ、構文定義をすることで曖昧さをなくせる。抽象構文木の表記には中置記法、前置記法、後置記法がある。","OK","",""
"Q12057","10/29/14 21:30","BNF/EBNFはプログラミング言語の構文定義、通信プロトコルの定義などに使われている。コンパイラコンパイラはBNFによる構文定義を入力として構文解析ぷろぐらむを生成するソフトウェアでJavaコンパイラコンパイラはPENで利用されている。コンパイラを作成するための共通基盤のことをLLVMといい、さまざまなアーキテクチャの生成ができる。","OK","",""
"Q12058","10/29/14 10:19","構文木は木が大きくなるため、数式などでは非終端記号をなくし、終端記号を内部接点にして簡略化したものである抽象構文木を用いる。また式の値を計算することを評価するといい、抽象構文木では木を小さくすることができる。","OK","",""
"Q12060","","未回答","","",""
"Q12063","10/28/14 16:16","コンパイラコンパイラとは、BNFによる構文定義を入力として構文解析プログラムを生成するソフトウェアのことで、バーサ?ジェネレーターとも呼ばれる。バーサとは構文解析の意味である。コンパイラコンパイラにはyacc(現在はbison)がある。また、正規表現で記述されたパターンを入力として字句解析プログラムを生成するlexがある。","パーサ→パーザ(parser)","",""
"Q12064","10/28/14 21:39","通常の構文木から〈e〉や〈t〉など情報を取り除き、演算子と定数のみで表したものが抽象構文木である。構文解析の際に生成され、意味解析において、中間コード生成に使われる。分岐点に演算子、葉の部分に定数を対応させた木となり、行きがけ順や帰りがけ順で解析の仕方が変わる。","OK","",""
"Q12065","10/29/14 10:01","BNF/EBNFはSQLやXML、通信プロトコルの定義などに使われている。また、コンパイラコンパイラと言うBNFによる構文定義を入力として構文解析プログラムを生成するソフトウェアがある。これに似たものでJavaコンパイラコンパイラがあり、これは「プログラミング入門」で扱ったPENで利用されている。","OK","",""
"Q12066","","未回答","","",""
"Q12067","10/28/14 18:41","式の評価って普通の計算と何が違うのですが?_x000D_
構文木での計算方法というだけですか?","同じです。","",""
"Q12068","","未回答","","",""
"Q12070","10/29/14 15:10","抽象構文木の数式記法には中置記法、前置記法、後置記法の3種類があり、前置記法は構文木を行きがけ順で見る。これによりできる式をスタックを用いて評価することがある。被演算子のときpushし、演算子のとき2つをpopし、その結果をpushすることで行う。この時必要なスタックの高さで評価ができる。","OK","",""
"Q12071","10/28/14 15:57","中置記法と前置記法ではなく後置記法が基本情報技術者試験に毎年出題されているそうですが、それは後置記法が技術者の間で一番使われていて、それ以外はあまり利用されないということですか?","頻度というよりも、単に逆ポーランド記法（すなわち後置記法）が基本情報技術者試験のシラバスに明記されているから、それが出題されるのでしょう。","",""
"Q12072","","未回答","","",""
"Q12073","","未回答","","",""
"Q12074","","未回答","","",""
"Q12075","10/28/14 15:56","抽象構文木という構文木を簡素化したものがあり、これには内部接点に終端記号が書かれている。この抽象構文木は前置・中置・後置記法の3つの数式の記法を対応させることができる。","OK","",""
"Q12077","10/29/14 16:10","コンパイラとは字句解析?構文解析?意味解析?中間コードの作成?最適化を順に行う、字句解析によって分けられたトークンを用いて構文図を作成する。この構文図を作成する際、生成規則によって生成される構文図が複数あるという状態をあいまい性があるという。これをなくすために、それぞれのコンパイラは右結合または左結合を定めている。","最後に、オブジェクトコードを生成しますので、お忘れなく。","",""
"Q12079","10/29/14 11:55","前置記法、中置記法、後置記法におけるそれぞれのメリットとデメリットはありますか。","プログラム中には普通の数式（中置）で書かれるので、コンパイラが後置記法か前置記法に置き換えて、実行コードを作るのです。","",""
"Q12080","","未回答","","",""
"Q12081","","未回答","","",""
"Q12082","","未回答","","",""
"Q12083","","未回答","","",""
"Q12085","","未回答","","",""
"Q12086","10/29/14 15:08","拡張BNFの()や{}等の意味を覚えておく必要はありますか?(試験で問題を解く際に意味を書いてくれているかどうか)","覚えてください。","",""
"Q12087","10/28/14 22:35","構文規則では曖昧さがあるが、それに対し多くの言語では演算子の結合性や優先順位を決めC言語ではelseとifを対応させるなど、約束に従ってコンパイラを作る。曖昧さを避けるためにifは必ずend ifで閉じるAdaという言語もある。","OK","",""
"Q12093","10/29/14 23:54","授業でLLVMの紹介がありましたが、具体的にどのようにソースプログラミングを読み込んで変換し、様々なコードに対応させているのでしょうか。コードに互換性を持たせる機能が予め関数などで用意されているものなのでしょうか。","LLVMの中身までは知りません。フロントエンドにはClangというツールがあるようです。LLVMのソースコードは公開されているので、自分で調べるなり、次のサイトを見るなりしてください。http://sssslide.com/speakerdeck.com/kazegusuri/ren-jian-demowakarullvmbatukuendoru-men","",""
"Q12094","","未回答","","",""
"Q12097","","未回答","","",""
"Q12099","10/28/14 21:10","LLVMの概念図というスライドでバックエンドのところにあった欲しい実行ファイルというのは具体的にどういうものなのでしょうか。","目的のマシンアーキテクチャ用の実行コード（機械語）を生成するためのモジュール、という意味でしょう。","",""
"Q12100","10/29/14 0:21","抽象構文木を書き換えて式の評価をしていくには、スタックが使われる。後置記法の場合、pushする物が被演算子のときはpushし、演算子のときは2つpopし、その2つで演算子した結果をpushする。","OK","",""
"Q12102","","未回答","","",""
"Q12104","10/29/14 10:14","既に定義されている構文を分かりやすく別の形に書き換えたものを糖衣構文と呼ばれる。例えば、C言語において配列のアクセスを行う構文*(a + i)はa[i]と書き換えるlことができ、どちらも同じ意味を持つ。","OK","",""
"Q12106","10/29/14 10:39","どのようなプログラムを記述しても基本的にコンパイラによって構文や記述にミスがないかをチェックする。しかし、あいまいな記述に対してどのような処理をするかは様々な対処j法があり、優先順位をあらかじめ決めることや式の評価を行うことで対応している。","2つ目の文では、1つ目の文とは関係ないことを記述しているので、「しかし」という接続詞を使うべきではありません。","",""
